volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,16.590614499989897,17.790621799987274,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,10,16.741080400010105,17.941087100002914,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,10,16.92907469999045,18.129087999975308,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,10,17.103060199995525,18.30306669998681,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,10,17.244013099989388,18.444025900028645,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,10,17.381661000021268,18.58167470000917,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,10,17.50865229999181,18.70865769997472,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,10,17.6635941999848,18.863601399981416,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,10,17.82740319997538,19.027415900013875,0.102578,0.123317,baseline,0,0,nan,nan,nan,nan
9,10,17.913474400003906,19.113481099996715,0.353882,0.064091,baseline,0,0,nan,nan,nan,nan
10,10,18.004209999984596,19.20421699997969,0.031319,0.008385,baseline,0,0,nan,nan,nan,nan
11,10,18.121337099990342,19.32134449998848,0.346218,0.170723,baseline,0,0,nan,nan,nan,nan
12,10,18.19526589999441,19.395278500032145,0.355412,0.230655,baseline,0,0,nan,nan,nan,nan
13,10,18.33631639997475,19.536323700030334,0.323262,0.147981,baseline,0,0,nan,nan,nan,nan
14,10,18.927285799989477,20.127299699978902,0.273494,0.167431,baseline,0,0,nan,nan,nan,nan
15,10,20.092519800004084,21.292533199989702,0.010674,-0.00412,baseline,0,0,nan,nan,nan,nan
16,10,21.343486799974926,22.54350010001799,0.207331,0.091801,baseline,0,0,nan,nan,nan,nan
17,10,22.52397929999279,23.723990700021385,0.355013,0.127222,baseline,0,0,nan,nan,nan,nan
18,10,23.736386100004893,24.936391799990087,0.333837,0.19119,baseline,0,0,nan,nan,nan,nan
