cen,dmn
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.003895,0.32495
-0.185409,-0.075891
-0.144622,0.031957
-0.0,0.0
-0.043177,0.040302
-0.144738,-0.148136
0.052456,0.074
-0.146655,-0.198518
-0.00757,-0.049588
0.063968,-0.063009
0.01737,-0.171671
-0.064584,-0.220329
0.00267,-0.095749
0.056921,-0.171759
-0.016727,-0.327865
-0.033973,-0.227433
0.018652,-0.20516
0.05072,0.029512
0.044363,-0.062559
0.025978,0.012179
-0.050755,0.11779
0.186371,0.037133
0.076005,0.062565
0.057352,-0.042849
0.128664,0.014333
0.01435,-0.05533
0.164196,-0.011186
0.029957,-0.051373
0.187723,0.019581
0.234002,0.258016
0.165422,-0.002846
0.305284,0.039127
0.286105,0.045291
0.242827,-0.011918
0.162859,-0.028276
-0.087335,-0.330215
-0.024666,-0.199545
-0.171989,-0.18272
-0.039977,-0.129585
-0.0778,-0.143027
-0.043979,-0.031175
-0.008238,-0.101611
-0.123101,-0.202943
-0.195416,-0.131376
-0.108431,-0.048539
-0.178195,-0.052031
-0.153266,0.010138
-0.073513,0.017979
-0.141646,0.074634
-0.073284,0.097486
-0.145346,0.006298
-0.164761,-0.030792
-0.05398,-0.037338
-0.167805,0.007588
-0.106644,0.02838
-0.130242,-0.018892
-0.113599,0.025035
-0.074425,0.082654
-0.098979,0.186633
-0.050939,0.080293
-0.025322,0.179755
-0.049795,0.081046
0.047619,0.214783
0.012093,0.246334
0.045301,0.168138
0.044232,0.125229
0.022822,0.107827
0.077707,0.144044
0.014395,0.110083
0.090241,0.085271
0.050446,0.080046
-0.027707,-0.001018
0.050986,-0.003218
-0.093584,-0.014999
-0.02938,-0.071605
-0.168339,-0.230737
-0.236791,-0.309688
-0.229468,-0.484068
-0.30433,-0.494425
-0.208436,-0.44257
-0.163047,-0.289745
-0.229373,-0.250827
-0.154372,-0.375666
-0.248253,-0.235134
-0.210205,-0.409279
-0.303102,-0.404419
-0.409229,-0.308167
-0.329075,-0.327233
-0.331219,-0.179353
-0.238167,-0.235212
-0.390544,-0.30066
-0.400076,-0.291086
-0.390706,-0.272236
-0.383121,-0.325178
-0.256751,-0.299885
-0.265213,-0.140543
-0.236838,-0.066383
-0.149173,-0.075378
-0.139294,-0.0667
-0.075988,-0.150173
-0.009054,-0.076243
-0.000278,-0.036103
0.097639,0.063813
-0.013152,0.002488
0.104278,0.00715
0.047255,0.001311
0.068103,-0.042052
0.254321,0.041629
0.107657,0.080697
0.256509,0.089538
0.160683,0.011615
0.171874,0.165645
0.23806,0.032791
0.162968,0.073106
0.244315,0.082891
0.168864,0.046503
0.195079,0.226824
0.336861,0.109611
-0.255531,-0.153148
0.219705,0.17863
