onset	duration	trial_type	feedback_source_volume	cen_signal	dmn_signal	pda	ball_y_position	cen_hit	dmn_hit	scale_factor	participant	run	feedback_on	slider_noting	slider_ballcheck	slider_difficulty	slider_calm
16.5906145	0	baseline	0	0	0	0	n/a	0	0	10	sub-rtBPD003	1	Feedback	8	n/a	n/a	n/a
16.7410804	0	baseline	1	0	0	0	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	7	n/a	n/a
16.9290747	0	baseline	2	0	0	0	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	3	n/a
17.1030602	0	baseline	3	0	0	0	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	7
17.2440131	0	baseline	4	0	0	0	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
17.381661	0	baseline	5	0	0	0	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
17.5086523	0	baseline	6	0	0	0	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
17.6635942	0	baseline	7	0	0	0	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
17.8274032	0	baseline	8	0.102578	0.123317	-0.020739	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
17.9134744	0	baseline	9	0.353882	0.064091	0.289791	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
18.00421	0	baseline	10	0.031319	0.008385	0.022934	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
18.1213371	0	baseline	11	0.346218	0.170723	0.175495	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
18.1952659	0	baseline	12	0.355412	0.230655	0.124757	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
18.3363164	0	baseline	13	0.323262	0.147981	0.175281	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
18.9272858	0	baseline	14	0.273494	0.167431	0.106063	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
20.0925198	0	baseline	15	0.010674	-0.00412	0.014794	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
21.3434868	0	baseline	16	0.207331	0.091801	0.11553	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
22.5239793	0	baseline	17	0.355013	0.127222	0.227791	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
23.7363861	0	baseline	18	0.333837	0.19119	0.142647	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
24.920114	0	baseline	19	0.109908	0.077628	0.03228	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
26.0676031	0	baseline	20	0.067417	0.035242	0.032175	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
27.3114933	0	baseline	21	0.067909	0.058948	0.008961	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
28.6192362	0	baseline	22	0.06298	0.064529	-0.001549	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
29.680344	0	baseline	23	-0.058598	0.028121	-0.086719	n/a	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
30.9226029	0	feedback	24	-0.184338	0.014211	-0.198549	0	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
32.0897027	0	feedback	25	-0.024333	0.010123	-0.034456	-0.016646071	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
33.284849	0	feedback	26	-0.191415	-0.196068	0.004653	-0.01958217	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
34.5474051	0	feedback	27	-0.007131	-0.038623	0.031492	-0.019172884	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
35.6954046	0	feedback	28	0.263116	-0.012245	0.275361	-0.016749052	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
36.920263	0	feedback	29	0.343607	0.149334	0.194273	0.007850658	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
38.11298	0	feedback	30	0.369853	0.129504	0.240349	0.023871225	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
39.2936292	0	feedback	31	0.19922	0.057546	0.141674	0.044682423	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
40.5000019	0	feedback	32	0.191235	0.082321	0.108914	0.057144325	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
41.7171186	0	feedback	33	0.054437	0.053799	0.000638	0.066874289	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
42.9383341	0	feedback	34	0.201563	0.080858	0.120705	0.066931286	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
44.1392739	0	feedback	35	0.086107	-0.029183	0.11529	0.076885127	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
45.287848	0	feedback	36	0.024958	-0.035741	0.060699	0.086709335	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
46.4994142	0	feedback	37	0.016239	-0.006277	0.022516	0.091965104	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
47.7006342	0	feedback	38	0.065426	0.006584	0.058842	0.093852814	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
48.873132	0	feedback	39	0.096056	-0.026302	0.122358	0.099028663	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
50.164844	0	feedback	40	0.100124	0.141568	-0.041444	0.110632341	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
51.3070581	0	feedback	41	0.108611	0.114626	-0.006015	0.107100773	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
52.5322465	0	feedback	42	0.090888	0.110766	-0.019878	0.10657995	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
53.6899384	0	feedback	43	0.079986	0.058865	0.021121	0.104995367	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
54.9407134	0	feedback	44	0.103402	0.088718	0.014684	0.106940295	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
56.0763177	0	feedback	45	0.13673	0.092266	0.044464	0.108131017	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
57.2651223	0	feedback	46	0.143481	0.094792	0.048689	0.111919928	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
58.509136	0	feedback	47	0.142588	0.094806	0.047782	0.115935028	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
59.7012807	0	feedback	48	0.235336	0.131546	0.10379	0.119612645	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
60.8824236	0	feedback	49	0.208775	0.107017	0.101758	0.127886306	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
62.1423341	0	feedback	50	0.215238	0.178063	0.037175	0.137116837	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
63.3460361	0	feedback	51	0.246611	0.177144	0.069467	0.140335724	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
64.587205	0	feedback	52	0.169768	0.073784	0.095984	0.14615974	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
65.7007955	0	feedback	53	0.216072	0.047238	0.168834	0.153811143	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
66.8895452	0	feedback	54	0.198027	0.082733	0.115294	0.168662088	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
68.1688421	0	feedback	55	0.095271	-0.083282	0.178553	0.179595859	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
69.3570523	0	feedback	56	0.098854	0.054829	0.044025	0.194565493	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
70.5601581	0	feedback	57	0.107505	0.025996	0.081509	0.198316996	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
71.7310817	0	feedback	58	0.161686	0.084268	0.077418	0.205150597	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
72.9492684	0	feedback	59	0.174121	0.032412	0.141709	0.21153481	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
74.1322091	0	feedback	60	0.150023	0.036143	0.11388	0.223415495	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
75.2603383	0	feedback	61	0.178527	0.084985	0.093542	0.233119552	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
76.4652288	0	feedback	62	0.056087	0.021121	0.034966	0.241219111	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
77.6923349	0	feedback	63	-0.001605	0.042497	-0.044102	0.244150612	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
78.9637915	0	feedback	64	-0.052225	0.010269	-0.062494	0.240331934	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
80.081915	0	feedback	65	-0.051898	0.025538	-0.077436	0.2353502	0	0	10	sub-rtBPD003	1	Feedback	n/a	n/a	n/a	n/a
