volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,7.5,17.141357500000595,18.34136750000034,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,7.5,17.450359800001024,18.65036980000077,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,7.5,17.779800700000123,18.97981069999987,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,7.5,18.101371599999766,19.30137560000112,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,7.5,18.43175710000105,19.631765999999697,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,7.5,18.789251399999557,19.98925530000015,-2.705674,0.712296,baseline,0,0,nan,nan,nan,nan
6,7.5,19.08100060000106,20.281004600000596,0.193109,-0.132698,baseline,0,0,nan,nan,nan,nan
7,7.5,19.42062430000078,20.620628199999555,0.006848,-0.006093,baseline,0,0,nan,nan,nan,nan
8,7.5,19.756403299999874,20.95641220000034,-0.0,0.0,baseline,0,0,nan,nan,nan,nan
9,7.5,20.05165080000006,21.251654700000653,0.005795,0.001689,baseline,0,0,nan,nan,nan,nan
10,7.5,20.405557100000806,21.6055642000003,-0.100709,-0.111641,baseline,0,0,nan,nan,nan,nan
11,7.5,20.758418499999607,21.95842720000037,0.112974,-0.113439,baseline,0,0,nan,nan,nan,nan
12,7.5,21.111441000000923,22.311450899999908,-0.043167,-0.028434,baseline,0,0,nan,nan,nan,nan
13,7.5,21.46558560000085,22.665595600000596,0.006234,-0.024835,baseline,0,0,nan,nan,nan,nan
14,7.5,21.83083500000066,23.030845000000408,0.024079,-0.104293,baseline,0,0,nan,nan,nan,nan
15,7.5,22.163567499999772,23.36357749999952,-0.129207,-0.011473,baseline,0,0,nan,nan,nan,nan
16,7.5,22.54069789999994,23.740701899999475,0.021909,-0.083334,baseline,0,0,nan,nan,nan,nan
17,7.5,22.894728499999474,24.09473850000104,0.002025,0.019777,baseline,0,0,nan,nan,nan,nan
18,7.5,23.695566000000326,24.895576100000834,-0.112449,-0.136586,baseline,0,0,nan,nan,nan,nan
19,7.5,24.972918800000116,26.17292279999965,-0.000869,0.021406,baseline,0,0,nan,nan,nan,nan
20,7.5,26.16587790000085,27.365887900000597,-0.05271,-0.054777,baseline,0,0,nan,nan,nan,nan
21,7.5,27.318131199999698,28.518141300000206,-0.091734,-0.028162,baseline,0,0,nan,nan,nan,nan
22,7.5,28.480396000000837,29.680406000000584,-0.193161,0.164016,baseline,0,0,nan,nan,nan,nan
23,7.5,29.713122099999964,30.913126000000556,-0.111508,0.088061,baseline,0,0,nan,nan,nan,nan
24,7.5,30.862164800000755,32.06216810000042,0.006458,0.235594,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,7.5,32.1157647,33.31576890000106,0.83948,0.218642,feedback,0,0,False,-0.010685508976540721,0.3333333333333333,-0.3333333333333333
26,7.5,33.368290100001104,34.568294300000346,-0.045658,-0.141507,feedback,0,0,False,0.017060260367408684,0.3333333333333333,-0.3333333333333333
27,7.5,34.54476539999996,35.7447693999995,-0.129442,-0.295577,feedback,0,0,False,0.021343832323133322,0.3333333333333333,-0.3333333333333333
28,7.5,35.81680790000064,37.01681190000018,-0.242732,-0.447864,feedback,0,0,False,0.0290913579577677,0.3333333333333333,-0.3333333333333333
29,7.5,36.93843500000003,38.1384441000002,-0.17078,-0.503987,feedback,0,0,False,0.037063115005168,0.3333333333333333,-0.3333333333333333
30,7.5,38.13808160000008,39.33809030000084,0.001731,-0.266292,feedback,0,0,False,0.051954414451705275,0.3333333333333333,-0.3333333333333333
31,7.5,39.287565700000414,40.48757489999953,0.079575,-0.315732,feedback,0,0,False,0.06341179634739633,0.3333333333333333,-0.3333333333333333
32,7.5,40.49146529999962,41.69146920000021,-0.09105,-0.56053,feedback,0,0,False,0.0799262271303653,0.3333333333333333,-0.3333333333333333
33,7.5,41.748335100000986,42.94833930000023,-0.34229,-0.453324,feedback,0,0,False,0.1018199180139729,0.3333333333333333,-0.3333333333333333
34,7.5,42.91936859999987,44.11937280000093,-0.552354,-0.560748,feedback,0,0,False,0.10635062446445896,0.3333333333333333,-0.3333333333333333
35,7.5,44.17588930000056,45.375893499999805,-0.491383,-0.712504,feedback,0,0,False,0.10676653487354322,0.3333333333333333,-0.3333333333333333
36,7.5,45.34415889999946,46.544167799999926,-0.562682,-0.77726,feedback,0,0,False,0.11664861725751983,0.3333333333333333,-0.3333333333333333
37,7.5,46.49033430000054,47.690341799999445,-0.396229,-0.584169,feedback,0,0,False,0.12561287422374587,0.3333333333333333,-0.3333333333333333
38,7.5,47.735623900000064,48.9356278999996,-0.007001,-0.554299,feedback,0,0,False,0.13401206997288131,0.3333333333333333,-0.3333333333333333
39,7.5,48.957228600000235,50.15723250000083,0.147114,-0.434374,feedback,0,0,False,0.15793955337183466,0.3333333333333333,-0.3333333333333333
40,7.5,50.153127999999924,51.35313229999993,0.123589,-0.468554,feedback,0,0,False,0.18110204429732743,0.3333333333333333,-0.3333333333333333
41,7.5,51.30436000000009,52.50436390000068,0.177142,-0.331066,feedback,0,0,False,0.20641482897573302,0.3333333333333333,-0.3333333333333333
42,7.5,52.5489577999997,53.748961700000294,0.233488,-0.271104,feedback,0,0,False,0.22813958072631188,0.3333333333333333,-0.3333333333333333
43,7.5,53.72300030000042,54.92300429999996,0.213231,-0.307702,feedback,0,0,False,0.2506902191292483,0.3333333333333333,-0.3333333333333333
44,7.5,54.97758170000088,56.17758570000042,0.182576,-0.369504,feedback,0,0,False,0.27498336489279723,0.3333333333333333,-0.3333333333333333
45,7.5,56.10867099999996,57.30867510000026,-0.022364,-0.432605,feedback,0,0,False,0.29751081069484314,0.3333333333333333,-0.3333333333333333
46,7.5,57.30496380000113,58.50496769999991,0.215455,-0.438328,feedback,0,0,False,0.31544625850768054,0.3333333333333333,-0.3333333333333333
47,7.5,58.53261510000084,59.732618999999616,-0.116769,-0.515732,feedback,1,0,False,0.0,0.3333333333333333,-0.3333333333333333
48,7.5,59.76247449999937,60.96247850000073,-0.150821,-0.45082,feedback,1,0,False,0.016667164630187557,0.3333333333333333,-0.3333333333333333
